item_id_A,item_id_B
363563,
1925135,
2231231,
2231235,
2756078,
2231236,
2231238,
957447,88858
2231242,
363636,96393
2078417,
2057754,948999
2269660,952382
2074479,
1936535,
1922008,
2231252,
1936898,112752
1936863,948729
2064046,
2788358,97857
2113122,
2788360,114257
2788359,
957521,
373667,
957522,
2231268,
2231269,
283870,
2231271,
2082995,
2055793,
2199417,
1927870,
2108915,
2100275,
2200175,
2231272,
2231273,
1949050,
2231280,
2231284,
283944,91868
2231288,
2231287,
2231286,
2231290,
2231291,
2066419,99268
2200960,
2082782,958549
2231305,
2231302,
2231310,
2231308,
2756266,
2231312,
2756267,
2231320,
2231321,
2231316,
2231314,
2231327,
2231329,
2756269,
2756272,
2756270,
2756271,
2756273,
2231335,
2231332,
2231338,
2231336,
2199850,
2074397,
2756276,
2231343,
2231355,
2231350,
2231353,
2231352,
284080,
2201179,
2199950,
2231358,
2201182,
2675800,
1940072,
957589,88850
2231372,
2231373,
2231367,
1919554,
2231375,
2231379,
2231377,
2231384,
2231383,
2231392,
2231387,
2231394,
2231389,
2231395,
2231398,
2231399,
2231402,
2231404,
2231408,
2231405,
284406,
2231414,
2231415,
2083926,
2194298,
2231422,
2200643,1086986
2231421,
2231423,
2231427,
2231428,
957634,
2253743,
2218528,
2231435,
2231436,
2247187,
2231439,
2193913,91509
2221487,
2231446,
2119978,
2231452,
2231448,
2236574,
2262557,98623
2207770,
2230667,
2239519,
2199995,
957719,
957742,
957758,89064
957826,88618
2227070,
2231486,
2248595,
2256038,
2231491,
2231497,
2231500,
2231498,
2214289,
2235047,
2235045,112603
2075942,
2260135,
2231503,
2241920,
2231515,
2231517,
2202778,
2118132,
2231523,
2198560,
2199921,105892
2252989,
2056020,97535
2231529,
2231526,
2753571,
2232768,
2267575,
2757624,
2237552,
2245935,
2215065,
2249370,
2253752,
1922293,
2231539,
2231540,
2244069,
2246478,1085185
2082638,96520
2231545,
2231544,
2231543,
2757625,
957858,1083932
2066107,89102
2059004,
1947477,
2200135,
2271067,
2788378,
1941580,
2230225,
2788379,
2227851,1084501
2788380,
2788381,
2231547,
2788382,
2255812,
2788383,
2788384,
2788385,
2788388,
957883,
374979,115818
957944,1087884
2231554,
2231558,
2231560,
2231564,
2756283,
2756284,
2231575,
2231574,
2231571,
2231572,
2231580,
2794301,100584
2259553,
2794302,105748
2231592,
2219651,
2231603,
2231598,
283016,
2231604,
2231605,
283021,100568
283170,
2231624,
2231627,
2231629,
2064229,
2231628,
2231626,
2231920,
2231634,
2231641,
2231647,
2231637,
283220,92472
2231651,
2231649,
2231655,
2231654,
2231667,
2231665,
2231666,
1952097,1086144
283221,92825
2231674,
2231672,
2231677,
2231676,
2231678,
2674514,106883
2231685,
2231683,
2231684,
2231693,
2231699,
2756227,
2231703,
2231706,
2231705,
2231704,
363828,
2065838,2683840
2231718,
2231715,
2127637,104134
2214439,
1932828,
2067285,
2392084,
2231735,
2231736,
2392101,
2054486,98196
2231742,
2231741,
2091380,
2386147,
283739,
1947372,
283841,104363
2231749,
2231747,
365402,1858047
2231760,
2231765,
2231767,
2231766,
361763,91743
2199280,
584325,
284061,97049
2386162,
2385386,
2085665,
2386165,
284215,99207
2068334,
284408,91812
957639,1087859
2081458,
284532,104954
2052456,
362355,99191
2218570,
2672940,
2242948,
2256781,
2102196,
2386199,
2228428,
2234624,
2203650,
2227632,
2203953,
2197740,101192
2238324,1084501
370037,100661
2230076,
2231694,
957776,
2236129,99254
2218600,
2228080,
2256720,
284933,
1925007,
2233977,114901
2235569,
2258689,95918
2253428,
2243132,111158
2258001,
2228434,
2235517,
356565,97616
2256502,
2253035,
2208944,
2211862,
2245327,
2232215,
2230094,
2258762,101116
2243514,
2199618,
2232266,
2214513,
2240133,
2227038,
356595,952025
2242995,107859
2231311,
2126800,
1912675,
2235760,
2255612,
2252564,
2237787,
2235506,
1925022,
2756659,
285150,100219
2238584,
2213332,
2240229,1085101
2208943,113272
2237444,
2120039,
2258961,
2199792,
2247351,
2237838,
285171,95462
2230971,
2229943,
2251629,
376259,
2231419,
2233778,
2133039,
2250762,
2082745,951792
2232166,
2197801,
2794303,
2097503,
2195324,
2216767,
2216330,
2230029,
2227373,
2234993,
2242990,
2239407,110255
2256247,
2194605,
2239012,
2231845,
2231846,
2231941,111142
2250964,
2231851,
2235779,
2216992,
2231860,
2216787,
2257899,
2218664,
2203316,950050
2235332,
2236149,
2231874,
2386221,
2216841,
2234867,
2245598,
2205930,
2231600,
2230664,
2102864,
2204306,
2195656,
2233641,115480
2253334,
2243376,115703
2231635,
2241747,
2243161,
2242452,
2236314,
2231538,
2246787,
2211047,
2214992,
2071999,105846
2237512,
2256801,
2231754,
2253434,
2227447,
2204140,
2242428,
2248027,
2243266,
2259236,
2227782,
2245565,
2247920,
2219655,
2250330,
2247681,
2237772,
2256797,
2259376,
2231895,
2243542,115461
2251397,
2253512,106243
2231901,
2231902,
2259561,
2211062,
2233485,
2214965,
2241043,
2230280,
2216778,
2237897,
2208433,
2253179,
2196096,
2256245,
2756288,
2756286,
2244688,
2235044,
2256024,
2235046,
2205402,949226
2240241,111181
2250736,
2230702,
2255548,
2256568,
2231712,
2215024,
2231911,
2231910,
2253446,
2246009,
2208473,1089686
2235981,
2204665,
2235615,
2253418,
2098979,
2203294,
2204811,
2231870,
2386245,
2127052,
2236583,
2250973,
2231266,
2231601,109162
2198902,
2203842,
2236305,
2233343,
2214583,
2258212,952446
2233816,
2252521,
2392123,
2216718,
2256686,
2248464,
2237514,
2250025,
2205198,
2256525,
2075247,
2239956,
2222747,
2226975,
2232655,
2249397,
2230840,
2248336,
2250004,
2214636,
2248379,
2229986,
2233187,
2101665,115448
2233941,
2234651,
2235547,
2233059,
2253414,
2205040,
2238940,
2258084,98356
2256409,
2245558,
2233564,
2252885,
2252922,
2231951,
2252923,
2252997,
2235841,
2242615,
2226777,
2241196,
2196900,2683573
2231587,
2230961,
2239768,950900
2207393,
2270599,
2256717,1088659
