item_id_A,item_id_B
957447,88858
363636,96393
2057754,948999
2269660,952382
1936898,112752
1936863,948729
2788358,97857
2788360,114257
283944,91868
2066419,99268
2082782,958549
957589,88850
2200643,1086986
2193913,91509
2262557,98623
957758,89064
957826,88618
2235045,112603
2199921,105892
2056020,97535
2246478,1085185
2082638,96520
957858,1083932
2066107,89102
2227851,1084501
374979,115818
957944,1087884
2794301,100584
2794302,105748
283021,100568
283220,92472
1952097,1086144
283221,92825
2674514,106883
2065838,2683840
2127637,104134
2054486,98196
283841,104363
365402,1858047
361763,91743
284061,97049
284215,99207
284408,91812
957639,1087859
284532,104954
362355,99191
2197740,101192
2238324,1084501
370037,100661
2236129,99254
2233977,114901
2258689,95918
2243132,111158
356565,97616
2258762,101116
356595,952025
2242995,107859
285150,100219
2240229,1085101
2208943,113272
285171,95462
2082745,951792
2239407,110255
2231941,111142
2203316,950050
2233641,115480
2243376,115703
2071999,105846
2243542,115461
2253512,106243
2205402,949226
2240241,111181
2208473,1089686
2231601,109162
2258212,952446
2101665,115448
2258084,98356
2196900,2683573
2239768,950900
2256717,1088659
2070896,103568
2241953,115057
2214674,115229
2126958,106570
2207953,115778
1927397,949246
2788877,113469
2788875,950812
2788879,108313
2059266,951046
2208071,1091390
2258536,953590
2788878,115798
1946072,111398
2256763,1333709
1914832,113224
2259765,108788
2230237,100982
2204098,952437
2196226,101924
2253746,110274
2209928,2685201
2229003,1084499
2244101,1848342
1921383,952563
2243438,112806
2237457,109490
2219689,95162
2256014,89146
2253378,106578
2092704,97506
2268626,88163
2216829,112603
1952037,102312
2203969,1086933
2208984,115567
2259104,108085
2243428,111184
2209709,114806
2239887,110274
2092966,952742
2197848,2137855
2219828,109850
2072000,1091019
2258478,114707
2204335,948795
2247198,112351
2259423,951915
2209035,949462
2222689,2031056
2219817,109457
2215975,113150
2208230,113360
2214528,948795
2252560,1884148
2235427,1953551
2244102,1848346
2218449,948486
2237016,957074
2243549,115461
2218674,110285
373212,114655
2204798,108768
2243182,109415
2208141,107708
1938816,1704438
2243970,1085185
1938918,1704436
2252579,106206
367256,950695
2208167,110829
2258784,106064
2208342,949462
2236382,115800
2200654,948409
2232275,112603
2209806,1085728
2209884,111506
2253662,2159314
1938306,1091287
2126845,111112
1912062,1091320
2756306,107233
2208152,112373
2211069,105891
2208341,1089676
2220014,88812
1937218,948844
2200737,114496
2072506,2684868
1919936,111366
1938426,2159834
2259725,951134
1926532,109091
2199284,1084503
2247804,1088659
1938221,107540
2242372,949590
1926094,112682
2778980,105152
2778968,100362
2778977,100880
2778969,958115
2789418,1723411
1937094,108588
1926463,105165
2196672,1086955
1939844,102962
2230458,97212
1914698,109434
2220986,94369
2679243,101747
2756307,950599
2242389,115096
1936659,107658
2195340,107035
1940391,102649
1919511,950470
1918093,114154
2054396,104332
2789422,948384
1943374,106375
1913815,1894604
2392236,110479
2789426,1891177
1919510,1864046
1938744,950664
1920395,109133
2204309,108939
2252081,107682
2252608,107412
2063653,1704438
1938931,107395
2054576,103199
2063114,113909
1932656,107958
2074023,115316
2063998,948595
2076338,948721
2232564,115096
2063152,2685608
2049533,106070
2220108,112124
2117181,102321
2093889,952520
1949636,104931
1947291,112833
2102686,951152
2756316,107152
2271929,951452
1949045,99215
1934771,106217
2198949,949990
2753592,102404
2753581,96232
2232617,109509
2069369,96157
361429,952014
361472,104397
2079787,1091062
2756754,111119
2756753,110150
2756758,2017823
2756760,104091
2272439,105933
2775040,1864950
1933389,1091494
2071628,97156
1932437,949112
2232742,109509
2068368,1083433
2071618,98532
2199791,102315
2201608,953526
1951048,97045
2056380,102680
2756319,107260
1941777,104697
2756328,109467
2386589,95478
2193923,949611
283315,101410
2214201,953355
379133,96243
1932648,1100264
2778973,952165
2196803,1089583
1951032,103160
1927647,107137
2068910,96520
2071021,100896
2052578,100086
2071008,100463
2071114,101741
1927665,110638
2386681,95517
1915176,103190
2071165,102989
1950464,99425
2196044,1723404
2393160,1090125
2393172,109901
2220132,101127
1938455,110500
2058944,948785
2778281,2683890
2392316,99162
2232130,115229
2392344,104792
2392358,100495
1943612,115270
2392373,100162
2077022,96901
1915069,107648
2051953,96029
2066347,1086207
2756329,115260
2063519,950186
2778987,96797
2066864,1091842
2778989,2027766
370242,99601
2070580,105788
2232927,115229
2070454,99757
2070456,99757
2126910,1089652
2195234,949688
2062426,110502
2076352,949906
2778991,92244
2778995,92007
2259491,104712
2051949,104703
2063557,949326
1952058,102768
2232970,106917
1949146,99589
2232997,114630
2232999,1085185
2073873,107275
2753601,1868777
2753602,95517
2753604,100902
2753608,97101
1943621,113349
2753610,102209
2753613,1952589
2753616,102687
2753620,103489
2753609,95641
2194273,1086904
2674553,950070
2066054,87892
2233050,1085185
2674555,2685649
2674556,110556
2072272,101060
2113996,102200
2233928,108326
2753647,102200
2102848,96735
2753223,1090883
2233244,950904
2233253,110174
2756362,951433
2756365,109422
2233262,110173
1925437,106301
2102912,95732
2233266,2682361
2756339,948292
2061998,115155
2065479,99038
2083933,950514
283416,957967
2259030,949187
2385991,1090888
2056257,98083
2233336,111941
2220184,98776
2220190,2017813
2220191,2017813
1944923,101648
2107745,115283
2756369,948303
2756368,951291
2756398,110426
2756401,950267
2756351,113390
2209376,115480
2209377,115480
2209380,115480
2209379,115480
2209431,115480
2074267,949709
2233481,114085
2233514,950267
2233528,950267
2233527,950904
2231858,111142
2231867,111142
2233532,950267
2233534,950904
2196240,101797
2196241,96200
2233558,950275
2755956,90026
2755972,2684075
2233582,950904
2755992,1090724
2756016,2684437
2756031,90958
2755941,89599
1917200,100600
2755996,2684218
2756033,90566
2756040,1091890
2233623,110159
1914527,1087040
2233624,110174
2127700,1087092
2210807,1084499
2220242,105530
1951035,103443
1926058,98979
2070826,1091523
2233646,950911
2206824,115480
2209448,115480
2216825,108939
2067454,105382
2058085,950936
2199817,950498
2233726,106236
2233727,112626
2066759,1091842
2220306,107218
2233736,114630
2220310,107218
2066714,1084497
2233739,112655
2756439,103219
2213187,109152
2218403,106523
2196246,96939
2071718,105495
2071263,100878
1949422,1084084
2220470,1333709
2233743,114506
2055138,96657
2055784,104309
2270752,1090845
2756445,98028
2756444,98028
2056651,953175
2232034,111941
2233790,113112
1921605,1854370
2233835,112626
2233840,106616
2233841,113712
2233842,113004
2233843,108856
2233846,108856
2233849,114213
2233859,114085
2756458,96622
2756459,100032
2756461,100246
2074028,1083944
2233879,112626
2120420,104788
2233912,112655
2233918,109714
2233919,112655
2233920,112655
2220593,950946
2749813,1085474
2233967,112626
2234001,114901
2258087,104547
2749840,953844
2749842,1085481
2208216,948403
2749846,1162356
2756469,115096
2220597,2146683
2234038,113112
2753585,105595
1942013,104914
2220598,114784
2386905,104384
2214477,108939
2230972,109495
2234078,112603
2069123,105982
2234154,948313
368903,948303
2234157,107358
2220621,948542
2219443,112439
2220623,949331
2220627,109277
2234173,112603
2234178,109385
2756510,108636
2234217,108939
2234218,112603
2234223,112603
2234228,114901
2234224,112626
2058077,114661
2087626,2019981
2220643,1084501
2234278,115096
2234302,106616
2234303,114506
2071360,953092
2218870,112854
2236518,114822
2756512,108365
2234354,108856
2385699,1163198
2220650,951137
2216932,111142
2200936,1890186
2200288,948732
2756517,113814
2756518,113878
2220710,115668
2204153,111142
2216071,948392
2216073,2139835
2220778,100980
2204290,109385
2204280,111142
2220841,109492
2220853,1848337
2220937,114450
2195317,115454
2220967,1085102
2220971,113083
2234410,106888
1938045,1875308
2259009,114717
2218253,950435
2072185,111095
2220993,1087583
2756375,111046
2220999,101295
2221001,97626
2221016,108683
2221026,2042640
2076431,113921
2221055,113872
2221072,109490
2069370,1857088
2221087,112710
2221103,109492
2218262,950394
2089127,96667
2392580,97708
2220931,115096
2221212,1085124
2221257,111032
2116864,107052
2221019,1087906
2117074,115747
2221365,107343
2234554,114506
2756537,110793
2756536,114109
2221359,109848
2221363,113184
2221367,103819
2221369,105071
2779027,1083012
2385635,115096
1949083,99459
1915701,950535
1949946,95508
1949817,102760
2106737,114610
2753701,1091482
1949107,96270
1917405,103681
1951126,1883969
1951622,101747
2204293,109385
2054052,104509
599983,100872
1950827,97429
2215277,1091167
2208188,112418
2200911,107216
2220774,2157081
2221484,1091167
2210516,109491
2221540,2685534
2123699,1092116
2221551,97573
2221552,102094
2117275,1090755
2221568,2684858
2221574,113583
2220925,115096
2072273,948889
2234629,112603
2215902,950427
2221584,1163182
2215903,112727
2234636,951433
2221590,102355
2206246,110434
2215791,1090015
1948812,112612
2210398,115517
1912815,2031059
2206290,109850
2206287,1703250
2221605,1091373
2221604,106657
2221607,107432
2392637,1090991
2205617,113568
2221705,106197
1929545,103620
2205527,111741
2205643,114778
2221717,1088665
2221731,111142
1931411,2138391
2221797,113295
2221799,114039
2386939,96016
2219376,1084501
2205593,112751
2221912,2685258
2386954,98476
2392541,102169
2204993,114506
2221959,2685258
2751040,103135
2071079,1703225
2221749,114506
1916494,1726376
2222147,106209
2222148,106209
2222178,111194
2222182,114357
2222209,113838
2222218,111194
2222242,113047
2671312,102169
2213459,115572
2204981,107714
2213310,109152
2222270,115706
2222302,109850
2222307,109850
2222337,106882
2387059,98474
2222436,107358
2751519,101696
1940512,88063
2210453,109490
2210529,107195
2210677,109490
2210524,115517
2210435,115653
2210647,115517
2209992,115653
2210673,2031056
2387025,100389
2222791,2031056
2222804,107195
2222842,949697
2387139,1090410
2222912,107437
2387195,102701
2756591,102467
2117429,1091385
2223042,1089126
2052431,951777
2223175,1089124
1947754,951722
2223204,115233
2223236,115234
1931993,96105
1945567,105610
2223245,115234
1916436,953078
2392745,1089726
2071084,102836
2392751,97262
2071145,951886
2756601,95625
2223268,113208
2223281,114289
1938492,109031
2065368,98869
2219248,88812
2215384,1084498
2779032,1087315
2212291,1084503
